Decoy      SPECS 
T0897TS320_2-D1      0.13997
T0897TS441_1_1-D1      0.119829
T0897TS303_3-D1      0.165802
T0897TS455_1-D1      0.131975
T0897TS239_2-D1      0.159181
T0897TS095_1-D1      0.136973
T0897TS171_5-D1      0.129191
T0897TS393_3-D1      0.163661
T0897TS384_1-D1      0.160326
T0897TS236_4-D1      0.14333
T0897TS441_2_2-D1      0.068363
T0897TS450_4-D1      0.145504
T0897TS456_3-D1      0.149259
T0897TS073_1-D1      0.148378
T0897TS022_1-D1      0.130303
T0897TS480_4-D1      0.146714
T0897TS434_1-D1      0.138183
T0897TS046_2-D1      0.0987648
T0897TS405_5-D1      0.132666
T0897TS356_5-D1      0.156645
T0897TS243_2-D1      0.1451
T0897TS446_5-D1      0.131168
T0897TS077_5-D1      0.149275
T0897TS011_2-D1      0.143034
T0897TS396_5-D1      0.156201
T0897TS439_3-D1      0.153911
T0897TS313_2-D1      0.119409
T0897TS252_5-D1      0.127816
T0897TS452_2-D1      0.129611
T0897TS258_4-D1      0.137105
T0897TS001_5-D1      0.13899
T0897TS467_3-D1      0.129743
T0897TS495_4-D1      0.142416
T0897TS441_4_1-D1      0.124102
T0897TS446_2-D1      0.149893
T0897TS073_4-D1      0.150618
T0897TS275_5-D1      0.119417
T0897TS384_4-D1      0.14818
T0897TS162_5-D1      0.152248
T0897TS356_1-D1      0.147398
T0897TS270_3-D1      0.119005
T0897TS182_2-D1      0.139583
T0897TS275_3-D1      0.109519
T0897TS067_2-D1      0.131168
T0897TS023_3-D1      0.124078
T0897TS287_3-D1      0.139155
T0897TS173_4_2-D1      0.05583
T0897TS114_2-D1      0.140242
T0897TS495_2-D1      0.142416
T0897TS275_1-D1      0.108457
T0897TS441_4_2-D1      0.05583
T0897TS441_3_2-D1      0.0774868
T0897TS446_4-D1      0.148353
T0897TS066_5-D1      0.154233
T0897TS188_3-D1      0.13834
T0897TS042_1-D1      0.155188
T0897TS026_3-D1      0.141815
T0897TS393_1-D1      0.15266
T0897TS220_3-D1      0.140012
T0897TS420_5-D1      0.146303
T0897TS480_1-D1      0.13111
T0897TS380_4-D1      0.127652
T0897TS345_1-D1      0.144557
T0897TS126_1_1-D1      0.121385
T0897TS247_3-D1      0.153244
T0897TS452_5-D1      0.135128
T0897TS040_3-D1      0.126095
T0897TS067_5-D1      0.141164
T0897TS270_4-D1      0.127413
T0897TS474_1_1-D1      0.147637
T0897TS001_1-D1      0.163225
T0897TS213_5-D1      0.154233
T0897TS405_4-D1      0.132493
T0897TS066_3-D1      0.119005
T0897TS092_1-D1      0.1521
T0897TS017_3-D1      0.137681
T0897TS213_2-D1      0.145405
T0897TS302_4-D1      0.127413
T0897TS420_1-D1      0.134684
T0897TS042_5-D1      0.155212
T0897TS303_2-D1      0.160203
T0897TS173_2_2-D1      0.0818017
T0897TS243_1-D1      0.147571
T0897TS247_1-D1      0.148798
T0897TS239_3-D1      0.130863
T0897TS182_4-D1      0.128409
T0897TS380_5-D1      0.141815
T0897TS441_5_1-D1      0.1243
T0897TS213_4-D1      0.127413
T0897TS325_5_1-D1      0.121492
T0897TS162_3-D1      0.134873
T0897TS162_2-D1      0.138291
T0897TS474_3_1-D1      0.155567
T0897TS004_2-D1      0.140366
T0897TS324_1-D1      0.158943
T0897TS363_1-D1      0.153244
T0897TS495_3-D1      0.142416
T0897TS421_3-D1      0.11656
T0897TS452_4-D1      0.144384
T0897TS436_1-D1      0.146072
T0897TS443_3-D1      0.146262
T0897TS173_1_1-D1      0.117671
T0897TS218_1-D1      0.110087
T0897TS173_5_2-D1      0.068363
T0897TS203_5-D1      0.161882
T0897TS474_2_1-D1      0.142976
T0897TS325_3_1-D1      0.114097
T0897TS066_4-D1      0.127413
T0897TS320_3-D1      0.153187
T0897TS079_5-D1      0.119639
T0897TS275_4-D1      0.115835
T0897TS046_4-D1      0.107403
T0897TS258_1-D1      0.136084
T0897TS004_4-D1      0.15182
T0897TS380_2-D1      0.140275
T0897TS413_1-D1      0.144796
T0897TS089_1-D1      0.136973
T0897TS384_3-D1      0.16208
T0897TS479_1-D1      0.141115
T0897TS287_4-D1      0.137261
T0897TS325_2_1-D1      0.120809
T0897TS489_1-D1      0.134758
T0897TS432_4-D1      0.162796
T0897TS444_5-D1      0.136051
T0897TS213_3-D1      0.119005
T0897TS101_4-D1      0.120323
T0897TS236_5-D1      0.152215
T0897TS363_2-D1      0.161438
T0897TS467_5-D1      0.120076
T0897TS173_2_1-D1      0.127931
T0897TS425_5-D1      0.145438
T0897TS270_5-D1      0.154233
T0897TS425_1-D1      0.147876
T0897TS258_5-D1      0.134025
T0897TS441_1_2-D1      0.0821229
T0897TS441_5_2-D1      0.0659091
T0897TS102_2-D1      0.147867
T0897TS079_1-D1      0.11656
T0897TS321_2-D1      0.140744
T0897TS380_1-D1      0.127652
T0897TS188_2-D1      0.132304
T0897TS250_4-D1      0.153623
T0897TS451_5-D1      0.139608
T0897TS089_2-D1      0.145405
T0897TS436_2-D1      0.139946
T0897TS188_5-D1      0.127577
T0897TS230_3-D1      0.135688
T0897TS396_2-D1      0.140226
T0897TS102_4-D1      0.140012
T0897TS357_4-D1      0.107419
T0897TS451_1-D1      0.137294
T0897TS325_3_2-D1      0.0867836
T0897TS252_4-D1      0.131752
T0897TS451_4-D1      0.131406
T0897TS432_2-D1      0.142465
T0897TS407_5-D1      0.120002
T0897TS067_1-D1      0.161438
T0897TS060_4-D1      0.149951
T0897TS230_1-D1      0.138381
T0897TS073_5-D1      0.161578
T0897TS393_4-D1      0.152652
T0897TS439_1-D1      0.150074
T0897TS252_2-D1      0.149292
T0897TS407_3-D1      0.118149
T0897TS060_5-D1      0.151318
T0897TS313_5-D1      0.119648
T0897TS464_5-D1      0.118783
T0897TS384_2-D1      0.144335
T0897TS359_5-D1      0.094137
T0897TS173_3_2-D1      0.078615
T0897TS173_3_1-D1      0.127182
T0897TS396_3-D1      0.154216
T0897TS126_3_1-D1      0.114756
T0897TS247_2-D1      0.140242
T0897TS095_5-D1      0.154233
T0897TS220_4-D1      0.141922
T0897TS417_4-D1      0.154908
T0897TS382_3-D1      0.134799
T0897TS102_1-D1      0.154801
T0897TS446_1-D1      0.146303
T0897TS180_1-D1      0.122283
T0897TS444_2-D1      0.134684
T0897TS022_4-D1      0.134338
T0897TS250_2-D1      0.149275
T0897TS023_2-D1      0.124251
T0897TS067_3-D1      0.154801
T0897TS483_2-D1      0.141568
T0897TS425_4-D1      0.151449
T0897TS040_4-D1      0.13055
T0897TS258_2-D1      0.140324
T0897TS001_4-D1      0.139904
T0897TS171_4-D1      0.147241
T0897TS095_2-D1      0.145405
T0897TS417_3-D1      0.153187
T0897TS303_4-D1      0.158317
T0897TS456_2-D1      0.152816
T0897TS411_2-D1      0.147077
T0897TS066_1-D1      0.136973
T0897TS183_4-D1      0.155221
T0897TS236_1-D1      0.13997
T0897TS179_1-D1      0.135375
T0897TS455_2-D1      0.125453
T0897TS337_4-D1      0.130509
T0897TS251_1-D1      0.133613
T0897TS498_2-D1      0.158638
T0897TS026_5-D1      0.141815
T0897TS001_3-D1      0.163126
T0897TS004_5-D1      0.141675
T0897TS313_3-D1      0.118618
T0897TS230_2-D1      0.136693
T0897TS456_1-D1      0.15625
T0897TS345_5-D1      0.122159
T0897TS324_2-D1      0.156102
T0897TS239_5-D1      0.159083
T0897TS089_5-D1      0.154233
T0897TS467_4-D1      0.126219
T0897TS455_4-D1      0.109577
T0897TS325_1_1-D1      0.125939
T0897TS247_4-D1      0.161882
T0897TS413_3-D1      0.132716
T0897TS089_3-D1      0.119005
T0897TS413_4-D1      0.132798
T0897TS359_4-D1      0.094137
T0897TS486_5-D1      0.148559
T0897TS479_2-D1      0.153351
T0897TS005_4-D1      0.161882
T0897TS001_2-D1      0.160573
T0897TS077_3-D1      0.1424
T0897TS425_2-D1      0.151853
T0897TS203_3-D1      0.153351
T0897TS101_3-D1      0.131374
T0897TS236_2-D1      0.13862
T0897TS456_4-D1      0.156826
T0897TS455_5-D1      0.114205
T0897TS042_3-D1      0.138883
T0897TS022_5-D1      0.132386
T0897TS399_5-D1      0.13069
T0897TS064_2-D1      0.133622
T0897TS173_1_2-D1      0.0821229
T0897TS324_4-D1      0.151787
T0897TS064_3-D1      0.14212
T0897TS325_2_2-D1      0.0836957
T0897TS464_3-D1      0.126293
T0897TS337_2-D1      0.125766
T0897TS451_2-D1      0.133753
T0897TS436_5-D1      0.134091
T0897TS467_2-D1      0.132395
T0897TS270_1-D1      0.136973
T0897TS171_3-D1      0.145586
T0897TS073_3-D1      0.153928
T0897TS342_1-D1      0.15373
T0897TS321_5-D1      0.131061
T0897TS444_3-D1      0.145183
T0897TS017_4-D1      0.140901
T0897TS439_4-D1      0.147983
T0897TS356_2-D1      0.147011
T0897TS407_1-D1      0.128302
T0897TS101_5-D1      0.125445
T0897TS264_4-D1      0.145125
T0897TS498_4-D1      0.154817
T0897TS399_4-D1      0.115555
T0897TS079_4-D1      0.094137
T0897TS417_5-D1      0.141115
T0897TS443_2-D1      0.150766
T0897TS179_2-D1      0.162796
T0897TS005_3-D1      0.153244
T0897TS486_2-D1      0.175651
T0897TS464_1-D1      0.117474
T0897TS026_2-D1      0.140275
T0897TS396_4-D1      0.143972
T0897TS180_3-D1      0.115596
T0897TS179_3-D1      0.151927
T0897TS046_1-D1      0.108309
T0897TS220_5-D1      0.13615
T0897TS363_4-D1      0.140242
T0897TS005_1-D1      0.147867
T0897TS479_3-D1      0.141164
T0897TS479_5-D1      0.151532
T0897TS302_3-D1      0.119005
T0897TS180_2-D1      0.115464
T0897TS396_1-D1      0.156431
T0897TS432_3-D1      0.144219
T0897TS444_4-D1      0.136331
T0897TS434_2-D1      0.132576
T0897TS325_4_2-D1      0.0691947
T0897TS455_3-D1      0.139205
T0897TS452_1-D1      0.156398
T0897TS162_4-D1      0.130492
T0897TS411_1-D1      0.143462
T0897TS179_5-D1      0.149284
T0897TS287_5-D1      0.136331
T0897TS264_5-D1      0.13097
T0897TS498_3-D1      0.139715
T0897TS173_4_1-D1      0.119829
T0897TS017_1-D1      0.142935
T0897TS064_1-D1      0.132049
T0897TS026_1-D1      0.127652
T0897TS183_3-D1      0.151853
T0897TS247_5-D1      0.169055
T0897TS192_3-D1      0.117218
T0897TS303_5-D1      0.166123
T0897TS192_1-D1      0.117218
T0897TS321_4-D1      0.142992
T0897TS287_1-D1      0.130344
T0897TS207_2-D1      0.155237
T0897TS183_5-D1      0.151548
T0897TS252_3-D1      0.121624
T0897TS251_4-D1      0.138595
T0897TS441_2_1-D1      0.111899
T0897TS243_5-D1      0.14636
T0897TS046_5-D1      0.103673
T0897TS101_2-D1      0.131612
T0897TS270_2-D1      0.145405
T0897TS023_1-D1      0.124111
T0897TS337_1-D1      0.140596
T0897TS359_2-D1      0.094137
T0897TS064_4-D1      0.138809
T0897TS203_1-D1      0.147867
T0897TS207_4-D1      0.158753
T0897TS313_1-D1      0.118635
T0897TS324_3-D1      0.139542
T0897TS188_4-D1      0.14081
T0897TS162_1-D1      0.13302
T0897TS349_1-D1      0.119639
T0897TS495_5-D1      0.142416
T0897TS399_3-D1      0.119236
T0897TS101_1-D1      0.131349
T0897TS359_1-D1      0.094137
T0897TS450_2-D1      0.141889
T0897TS303_1-D1      0.159149
T0897TS417_2-D1      0.151853
T0897TS023_5-D1      0.123847
T0897TS456_5-D1      0.158704
T0897TS042_2-D1      0.161817
T0897TS443_5-D1      0.145759
T0897TS005_5-D1      0.169055
T0897TS405_2-D1      0.13274
T0897TS236_3-D1      0.14128
T0897TS275_2-D1      0.110845
T0897TS011_5-D1      0.143198
T0897TS483_3-D1      0.155797
T0897TS017_2-D1      0.143412
T0897TS486_4-D1      0.141362
T0897TS022_2-D1      0.135754
T0897TS439_5-D1      0.168734
T0897TS446_3-D1      0.14277
T0897TS060_3-D1      0.153417
T0897TS220_1-D1      0.154801
T0897TS498_1-D1      0.144219
T0897TS483_4-D1      0.127026
T0897TS126_5_1-D1      0.116823
T0897TS251_3-D1      0.12416
T0897TS345_4-D1      0.129117
T0897TS046_3-D1      0.107403
T0897TS452_3-D1      0.118602
T0897TS443_1-D1      0.139534
T0897TS207_3-D1      0.13582
T0897TS250_5-D1      0.149844
T0897TS421_1-D1      0.15261
T0897TS337_3-D1      0.146154
T0897TS188_1-D1      0.127652
T0897TS421_5-D1      0.1292
T0897TS077_1-D1      0.143635
T0897TS420_2-D1      0.13997
T0897TS016_1-D1      0.130986
T0897TS114_4-D1      0.155221
T0897TS017_5-D1      0.136388
T0897TS444_1-D1      0.133967
T0897TS434_3-D1      0.130221
T0897TS243_4-D1      0.14888
T0897TS095_3-D1      0.119005
T0897TS324_5-D1      0.148477
T0897TS077_2-D1      0.153187
T0897TS060_1-D1      0.137706
T0897TS356_3-D1      0.146245
T0897TS064_5-D1      0.136718
T0897TS417_1-D1      0.154801
T0897TS173_5_1-D1      0.111899
T0897TS411_5-D1      0.140835
T0897TS345_2-D1      0.136709
T0897TS040_5-D1      0.126449
T0897TS413_2-D1      0.134741
T0897TS483_1-D1      0.142367
T0897TS239_1-D1      0.154257
T0897TS203_2-D1      0.140242
T0897TS119_1-D1      0.117523
T0897TS451_3-D1      0.130418
T0897TS042_4-D1      0.144722
T0897TS207_5-D1      0.136759
T0897TS192_2-D1      0.117218
T0897TS004_1-D1      0.154916
T0897TS126_4_2-D1      0.0810853
T0897TS048_1-D1      0.15373
T0897TS171_2-D1      0.115596
T0897TS073_2-D1      0.139476
T0897TS321_1-D1      0.148757
T0897TS486_3-D1      0.127652
T0897TS040_1-D1      0.134552
T0897TS126_3_2-D1      0.0970685
T0897TS171_1-D1      0.125692
T0897TS230_5-D1      0.132872
T0897TS040_2-D1      0.136998
T0897TS432_1-D1      0.153566
T0897TS363_5-D1      0.154801
T0897TS450_1-D1      0.136709
T0897TS251_2-D1      0.151927
T0897TS405_1-D1      0.124415
T0897TS102_5-D1      0.140242
T0897TS183_2-D1      0.141346
T0897TS095_4-D1      0.127413
T0897TS480_3-D1      0.135598
T0897TS179_4-D1      0.158827
T0897TS321_3-D1      0.144812
T0897TS252_1-D1      0.151466
T0897TS420_4-D1      0.153376
T0897TS060_2-D1      0.145529
T0897TS180_5-D1      0.138076
T0897TS203_4-D1      0.153244
T0897TS357_5-D1      0.0949769
T0897TS079_3-D1      0.136051
T0897TS432_5-D1      0.146574
T0897TS420_3-D1      0.132395
T0897TS126_1_2-D1      0.113587
T0897TS089_4-D1      0.127413
T0897TS359_3-D1      0.094137
T0897TS126_4_1-D1      0.124959
