Decoy      SPECS 
R0968s2TS004_1      0.404773
R0968s2TS112_2      0.372707
R0968s2TS190_5      0.383933
R0968s2TS156_5      0.38337
R0968s2TS112_1      0.371087
R0968s2TS425_1      0.341601
R0968s2TS196_5      0.364279
R0968s2TS156_2      0.379872
R0968s2TS460_4      0.384209
R0968s2TS312_5      0.356709
R0968s2TS390_4      0.380178
R0968s2TS425_5      0.379407
R0968s2TS196_4      0.354704
R0968s2TS270_1      0.373913
R0968s2TS457_3      0.351265
R0968s2TS270_2      0.379496
R0968s2TS433_2      0.310731
R0968s2TS156_3      0.363063
R0968s2TS433_5      0.310138
R0968s2TS086_4      0.455998
R0968s2TS492_2      0.335889
R0968s2TS174_3      0.38085
R0968s2TS190_4      0.385553
R0968s2TS102_5      0.389358
R0968s2TS270_5      0.375237
R0968s2TS288_1      0.356957
R0968s2TS328_2      0.265583
R0968s2TS344_4      0.36586
R0968s2TS460_5      0.387263
R0968s2TS344_5      0.360099
R0968s2TS433_3      0.312362
R0968s2TS312_4      0.360415
R0968s2TS208_5      0.328982
R0968s2TS431_1      0.257777
R0968s2TS390_3      0.387757
R0968s2TS102_2      0.376828
R0968s2TS356_4      0.393755
R0968s2TS156_1      0.365939
R0968s2TS196_1      0.318607
R0968s2TS174_5      0.367283
R0968s2TS431_3      0.267283
R0968s2TS174_2      0.379269
R0968s2TS425_4      0.38997
R0968s2TS492_5      0.364051
R0968s2TS457_1      0.358231
R0968s2TS270_4      0.39915
R0968s2TS217_2      0.38418
R0968s2TS102_1      0.381334
R0968s2TS431_4      0.338607
R0968s2TS112_5      0.355306
R0968s2TS281_2      0.295158
R0968s2TS433_4      0.248903
R0968s2TS358_5      0.36582
R0968s2TS117_1      0.402569
R0968s2TS358_1      0.379921
R0968s2TS174_4      0.379269
R0968s2TS196_3      0.346966
R0968s2TS492_4      0.340395
R0968s2TS086_2      0.385692
R0968s2TS086_3      0.43004
R0968s2TS492_3      0.362026
R0968s2TS433_1      0.31003
R0968s2TS086_5      0.39004
R0968s2TS156_4      0.380968
R0968s2TS270_3      0.375988
R0968s2TS356_3      0.437698
R0968s2TS086_1      0.433666
R0968s2TS208_1      0.331848
R0968s2TS460_3      0.389397
R0968s2TS328_4      0.284674
R0968s2TS312_1      0.353231
R0968s2TS457_5      0.380158
R0968s2TS217_4      0.37915
R0968s2TS288_3      0.335306
R0968s2TS425_2      0.374585
R0968s2TS288_2      0.333785
R0968s2TS217_1      0.387846
R0968s2TS102_3      0.386769
R0968s2TS460_2      0.387055
R0968s2TS217_3      0.390138
R0968s2TS112_3      0.382164
R0968s2TS312_3      0.357559
R0968s2TS492_1      0.329447
R0968s2TS425_3      0.382036
R0968s2TS457_4      0.359091
R0968s2TS356_5      0.453014
R0968s2TS068_4      0.323498
R0968s2TS460_1      0.386581
R0968s2TS328_5      0.256285
R0968s2TS288_4      0.358567
R0968s2TS208_2      0.321047
R0968s2TS356_2      0.415534
R0968s2TS196_2      0.326947
R0968s2TS068_2      0.35914
R0968s2TS068_5      0.319506
R0968s2TS190_3      0.404101
R0968s2TS390_1      0.396225
R0968s2TS328_3      0.250464
R0968s2TS312_2      0.353745
R0968s2TS195_1      0.319891
R0968s2TS390_2      0.385751
R0968s2TS117_2      0.390702
R0968s2TS190_1      0.405089
R0968s2TS102_4      0.380711
R0968s2TS208_4      0.333903
R0968s2TS358_4      0.36333
R0968s2TS390_5      0.380702
R0968s2TS208_3      0.327648
R0968s2TS356_1      0.429091
R0968s2TS344_1      0.38753
R0968s2TS068_1      0.374545
R0968s2TS217_5      0.384081
R0968s2TS281_1      0.302619
R0968s2TS068_3      0.331868
R0968s2TS457_2      0.37835
R0968s2TS358_2      0.373864
R0968s2TS174_1      0.370198
R0968s2TS288_5      0.353854
R0968s2TS190_2      0.385296
R0968s2TS344_2      0.377688
R0968s2TS431_2      0.274723
R0968s2TS344_3      0.368943
R0968s2TS328_1      0.254318
R0968s2TS112_4      0.37587
R0968s2TS431_5      0.389624
R0968s2TS358_3      0.378389
