Target      Ang_RMSD_1     SPECS 
1ah7     0.822525982792     0.733015
1aho     0.942608678644     0.701296
1arb     0.73515246445     0.739954
1atg     0.757600090111     0.727278
1bkr     0.615114532386     0.745812
1bx7     1.17705771438     0.728387
1c1k     0.830993794666     0.731891
1c7k     0.591650666026     0.739024
1eb6     0.924911864608     0.735882
1elk     0.867459648487     0.811297
1f94     1.1373947079     0.715061
1g2r     0.705869004557     0.726426
1g61     0.634967273762     0.738879
1g6x     0.588666406798     0.745435
1g8a     0.839501014794     0.731538
1gk7     1.13948450215     0.719289
1gmu     0.694858583052     0.971558
1gp0     0.72171657265     0.735159
1i27     0.949288183373     0.723646
1i2t     0.901597669476     0.731352
1i71     0.740429935052     0.741772
1io0     0.753104515441     0.732263
1jhj     0.712528669172     0.745624
1jl1     0.845557087678     0.728013
1kmt     0.762926463711     0.785458
1kng     0.724209543904     0.728125
1koe     0.751174686741     0.736747
1ks8     0.731112538849     0.740967
1lc0     0.977175360926     0.728292
1lmi     0.781695350344     0.732616
1lwb     0.771925864491     0.709156
1m4l     0.776100494346     0.743504
1m55     0.848615353089     0.815132
1mf7     0.830355767553     0.738431
1muw     0.823477803175     0.708484
1nc5     0.823284989014     0.737106
1ng6     0.741223257017     0.739765
1nkg     0.773407231088     0.740451
1o06     0.789356709062     0.733523
1o7i     0.896114886231     0.813804
1r6j     0.653173712578     0.731693
1r6x     0.834325978734     0.736178
1rju     1.0070438749     0.742487
1roc     0.932169140329     0.742016
1rtq     0.813997191941     0.712121
1rtt     0.729420070401     0.738885
1s3c     0.657040828639     0.738282
1sau     0.818401057667     0.729944
1t1u     0.8786348799     0.731468
1t3y     0.546178479262     0.740831
1t8k     0.754997378363     0.738164
1tp6     0.842924042491     0.74467
1tqg     0.90358881895     0.706764
1tua     0.823392021809     0.727128
1ucs     0.719853607466     0.710494
1ukf     0.760881808771     0.73663
1vcc     0.83741963718     0.73322
1vkk     0.697777738205     0.73857
1w0n     0.720511970543     0.738333
1w4s     0.733769890324     0.740629
1wer     0.872809614241     0.729795
1wny     0.753970207648     0.819545
1wpa     0.930685659644     0.740166
1x0t     0.890514309454     0.716199
1x91     0.854256331137     0.72934
1xmk     0.906781413143     0.72651
1xmt     0.869878838358     0.739892
1xqo     0.813512006776     0.732025
1y8a     0.788843887679     0.734861
1yfq     0.712909672704     0.739414
1ypy     0.977566483921     0.797147
1yxy     0.758809490978     0.814081
1z6n     0.716468535829     0.737931
1zhv     0.79358469777     0.730393
1zzk     1.00630438809     0.720213
2c0h     0.648411796356     0.743855
2c71     0.658258055894     0.733348
2ccw     0.788801292271     0.735139
2cg7     1.14595986916     0.732879
2ciu     0.905689613365     0.733638
2ckk     0.646492721445     0.729905
2cmp     0.88300254275     0.733015
2dsx     0.842536311116     0.739707
2end     0.691688768726     0.738296
2erf     0.864284788045     0.73514
2erl     0.994883070713     0.701648
2f23     0.802461280153     0.817178
2fao     0.867773339103     0.811753
2fj8     0.910483845493     0.742888
2fq3     0.830310006867     0.726979
2g3r     0.903241258044     0.731895
2gwm     0.815571963031     0.73167
2h1v     0.774179750141     0.739096
2i49     0.758177674967     0.735027
2i53     0.787076694266     0.732655
2ii2     0.772682041078     0.743518
2ip6     0.798482909553     0.729911
2ixm     0.743023437759     0.737807
2j8b     0.861345976158     0.74697
2jfr     0.726370324325     0.73985
2jli     0.635721595056     0.668318
2lis     0.694011095139     0.728557
2mhr     0.926856515197     0.704449
2nls     0.724880172029     0.743624
2nuh     0.980981595752     0.728813
2o9s     0.830053597635     0.739009
2okt     0.791335385786     0.739218
2ov0     0.393419425215     0.74513
2p51     0.800265272565     0.732509
2p5k     0.890484923751     0.703968
2pnd     0.864991099732     0.733585
2pne     1.10514653553     0.712837
2pth     0.624139370851     0.733744
2qcp     0.933932758589     0.732358
2qfe     0.810395183597     0.729545
2qjl     0.71002448211     0.743629
2rbk     0.787005824443     0.737722
2v9v     0.823198491781     0.7058
2vb1     0.783938613396     0.708712
2vc8     0.673913297272     0.746275
2vq4     0.781607039454     0.748156
2w5q     0.670523200258     0.744739
2wj5     0.727321374301     0.739844
2wmf     0.85605657153     0.734369
2wnp     0.723733897949     0.746413
2x3m     0.931006346431     0.728532
2x5y     0.842109606674     0.74154
2xbg     0.679427105178     0.738304
2xio     0.665798181401     0.732272
2y6h     0.769297067812     0.733655
2y6x     0.998508855499     0.732767
2y9u     0.940361188139     0.737805
2yby     0.887827435787     0.696665
2yh5     0.770816711519     0.733631
2z6o     0.778305986363     0.730004
2z72     0.806039934394     0.740267
2znr     0.917645313963     0.736977
3a02     0.997288159439     0.720388
3a07     0.992634682155     0.819681
3a2z     0.71577219683     0.744157
3aj7     0.806658536129     0.738629
3boe     0.590720208389     0.734406
3bwz     0.792464719364     0.742424
3c5k     0.673935438546     0.741225
3ca7     0.97870677051     0.743682
3ccd     0.7910910457     0.816898
3chm     0.793880247556     0.727894
3cuz     0.796694035806     0.736224
3dfg     0.762140739968     0.731834
3dso     0.85912650861     0.736364
3e7r     1.11619329572     0.7175
3e8y     1.08626474537     0.730265
3ea6     0.821825406961     0.73824
3eoi     0.664616859034     0.819826
3eye     0.590797903202     0.74847
3f6y     0.773019161004     0.736291
3fgh     0.905627854104     0.741113
3fke     0.791414901943     0.804139
3fym     0.905639828543     0.733329
3gha     0.744197000065     0.739088
3gkm     0.796457927347     0.730334
3goe     0.876943228577     0.704304
3gwi     0.879012940772     0.734112
3h7i     0.815987779975     0.737124
3hny     0.792114768716     0.743211
3hpc     0.806585518653     0.747045
3ie4     0.707679170575     0.841922
3ipj     0.646951962104     0.805921
3jvl     0.953924888861     0.723952
3k7i     0.753960283492     0.74177
3l42     0.871855131952     0.716079
3lqb     0.803357917209     0.730538
3m66     0.893716621433     0.730055
3mbr     0.800065071485     0.734717
3mvs     0.740136733954     0.733398
3ne0     0.591783351231     0.723574
3nir     0.75323063999     0.713785
3onh     0.761606796639     0.732965
3osx     0.737838742462     0.732978
3piw     0.830941960908     0.730239
3puc     0.779375933192     0.707827
3qx1     0.846579832434     0.816386
3rjp     0.916713371093     0.736162
3rkg     0.88186696285     0.737826
3rt2     0.853140739298     0.734981
3rx9     0.91956021033     0.733191
3t3l     0.831336867787     0.732391
3t7l     0.733190828989     0.733768
3tn2     0.913104413165     0.729011
3tow     0.843460521117     0.709368
3tyt     0.86141203297     0.738135
3us6     0.792394906303     0.742499
3v46     0.920743077934     0.701861
3vmn     0.75680502541     0.740394
3vmv     0.74256703346     0.741811
3vor     0.797622177862     0.715522
3zbd     0.645289355788     0.810661
3zsu     0.6497213633     0.735911
3zzo     1.15302418719     0.731855
3zzp     0.714469202546     0.731143
4a02     0.778525424515     0.731613
4a4j     0.930719101725     0.736018
4a9v     0.711431405443     0.711553
4abl     0.691705426705     0.738567
4acj     0.755505917582     0.709261
4ann     0.925752655544     0.736519
4b89     0.806650456266     0.726556
4b9g     0.783159409898     0.791719
4d8b     0.679084768462     0.712482
4dvc     0.738293515417     0.709604
4e40     0.833389710855     0.730496
4eb0     0.664505502182     0.736866
4esm     0.784346138911     0.734634
4f1v     0.629355641767     0.718209
4f2f     0.907988570031     0.727341
4ftf     0.947351712344     0.727304
4g3o     0.896850436414     0.728924
4ga2     0.765088274985     0.708807
4gc3     0.792571978568     0.738295
4gco     0.765762106818     0.732566
4gei     0.882308292686     0.72938
4gmq     0.583834757799     0.73482
4gzc     0.804163153336     0.73948
4h4n     0.88068157196     0.730004
4he6     0.829544370656     0.738496
4hu2     0.779127558556     0.733288
4i6x     0.879503666506     0.732615
4iej     0.801435080429     0.735742
4il7     0.867319435064     0.738944
