Decoy      SPECS 
T0942TS357_4-D1      0.420284
T0942TS171_1-D1      0.42814
T0942TS073_3-D1      0.398759
T0942TS441_3_1-D1      0.121978
T0942TS251_4-D1      0.138636
T0942TS405_2-D1      0.44106
T0942TS384_5-D1      0.481976
T0942TS040_2-D1      0.138308
T0942TS079_5-D1      0.436567
T0942TS345_4-D1      0.409032
T0942TS345_2-D1      0.438183
T0942TS359_1-D1      0.122872
T0942TS407_2-D1      0.413098
T0942TS321_4-D1      0.147497
T0942TS114_2-D1      0.485956
T0942TS073_1-D1      0.449783
T0942TS396_4-D1      0.448167
T0942TS405_3-D1      0.448299
T0942TS443_5-D1      0.313137
T0942TS011_3-D1      0.481339
T0942TS345_3-D1      0.422445
T0942TS464_5-D1      0.159886
T0942TS173_4_1-D1      0.183716
T0942TS325_3_1-D1      0.0914346
T0942TS243_5-D1      0.47636
T0942TS467_4-D1      0.141862
T0942TS303_3-D1      0.47789
T0942TS425_3-D1      0.358073
T0942TS060_3-D1      0.450598
T0942TS345_1-D1      0.419647
T0942TS421_1-D1      0.419298
T0942TS243_2-D1      0.474494
T0942TS011_4-D1      0.381109
T0942TS173_2_2-D1      0.0960654
T0942TS483_4-D1      0.12858
T0942TS441_5_2-D1      0.108053
T0942TS230_1-D1      0.128718
T0942TS396_1-D1      0.450775
T0942TS439_3-D1      0.488958
T0942TS173_2_1-D1      0.13597
T0942TS452_3-D1      0.131023
T0942TS203_5-D1      0.479421
T0942TS384_4-D1      0.458329
T0942TS411_5-D1      0.48662
T0942TS303_2-D1      0.475309
T0942TS026_5-D1      0.136686
T0942TS324_5-D1      0.457344
T0942TS359_5-D1      0.129513
T0942TS042_4-D1      0.42301
T0942TS236_4-D1      0.428889
T0942TS479_4-D1      0.401557
T0942TS322_1-D1      0.108506
T0942TS102_5-D1      0.438387
T0942TS452_5-D1      0.143057
T0942TS420_1-D1      0.485956
T0942TS464_3-D1      0.442091
T0942TS180_2-D1      0.143261
T0942TS411_4-D1      0.458638
T0942TS479_3-D1      0.436561
T0942TS203_1-D1      0.462513
T0942TS162_3-D1      0.124921
T0942TS005_4-D1      0.214655
T0942TS042_1-D1      0.235897
T0942TS382_4-D1      0.429467
T0942TS380_2-D1      0.138196
T0942TS322_3-D1      0.0999606
T0942TS324_2-D1      0.45917
T0942TS077_1-D1      0.339425
T0942TS022_3-D1      0.120645
T0942TS483_3-D1      0.150158
T0942TS480_1-D1      0.433979
T0942TS380_5-D1      0.136686
T0942TS446_5-D1      0.147859
T0942TS258_5-D1      0.133454
T0942TS250_2-D1      0.44707
T0942TS441_2_1-D1      0.14171
T0942TS325_2_1-D1      0.115804
T0942TS023_2-D1      0.448752
T0942TS079_4-D1      0.449895
T0942TS451_3-D1      0.268983
T0942TS067_3-D1      0.419298
T0942TS017_5-D1      0.448522
T0942TS171_3-D1      0.432179
T0942TS357_3-D1      0.433309
T0942TS411_1-D1      0.454053
T0942TS022_5-D1      0.118793
T0942TS464_4-D1      0.438216
T0942TS417_2-D1      0.47475
T0942TS287_2-D1      0.439733
