Decoy      SPECS 
T0953s2TS322_3-D1      0.222624
T0953s2TS043_4-D1      0.245041
T0953s2TS222_3-D1      0.169861
T0953s2TS312_5-D1      0.112345
T0953s2TS381_3-D1      0.227893
T0953s2TS244_1-D1      0.17655
T0953s2TS145_1-D1      0.261725
T0953s2TS055_5-D1      0.29858
T0953s2TS145_2-D1      0.340134
T0953s2TS418_3-D1      0.205501
T0953s2TS244_4-D1      0.216477
T0953s2TS089_3-D1      0.260124
T0953s2TS348_3-D1      0.184917
T0953s2TS470_4-D1      0.176834
T0953s2TS163_5-D1      0.318776
T0953s2TS116_4-D1      0.205424
T0953s2TS192_4-D1      0.187965
T0953s2TS192_1-D1      0.272366
T0953s2TS085_4-D1      0.234556
T0953s2TS058_4-D1      0.216813
T0953s2TS365_3-D1      0.222107
T0953s2TS402_5-D1      0.189075
T0953s2TS279_5-D1      0.178487
T0953s2TS055_2-D1      0.265702
T0953s2TS488_3-D1      0.216477
T0953s2TS324_2-D1      0.198218
T0953s2TS358_4-D1      0.21671
T0953s2TS160_5-D1      0.218698
T0953s2TS402_2-D1      0.205165
T0953s2TS407_2-D1      0.218698
T0953s2TS197_2-D1      0.205501
T0953s2TS354_4-D1      0.316968
T0953s2TS196_4-D1      0.225413
T0953s2TS208_1-D1      0.165289
T0953s2TS041_5-D1      0.212784
T0953s2TS470_5-D1      0.172004
T0953s2TS047_3-D1      0.194421
T0953s2TS279_4-D1      0.193543
T0953s2TS460_4-D1      0.326834
T0953s2TS222_2-D1      0.165883
T0953s2TS058_5-D1      0.243982
T0953s2TS381_5-D1      0.190496
T0953s2TS457_2-D1      0.292278
T0953s2TS274_5-D1      0.222288
T0953s2TS043_5-D1      0.294086
T0953s2TS007_2-D1      0.170067
T0953s2TS365_5-D1      0.243156
T0953s2TS431_1-D1      0.165548
T0953s2TS288_2-D1      0.203667
T0953s2TS337_3-D1      0.161441
T0953s2TS214_5-D1      0.234607
T0953s2TS071_5-D1      0.186312
T0953s2TS196_1-D1      0.224019
T0953s2TS390_2-D1      0.29907
T0953s2TS243_1-D1      0.221591
T0953s2TS460_3-D1      0.323011
T0953s2TS458_5-D1      0.197753
T0953s2TS089_5-D1      0.178951
T0953s2TS116_5-D1      0.128796
