Decoy      SPECS 
TR866TS330_2      0.36829
TR866TS418_5      0.332559
TR866TS450_1      0.36746
TR866TS118_3      0.461729
TR866TS023_4      0.434032
TR866TS118_4      0.4375
TR866TS102_4      0.367688
TR866TS396_1      0.420168
TR866TS330_1      0.216087
TR866TS450_2      0.365978
TR866TS430_2      0.431561
TR866TS073_1      0.399229
TR866TS204_4      0.444545
TR866TS162_1      0.414219
TR866TS208_3      0.416433
TR866TS162_5      0.405781
TR866TS204_1      0.426186
TR866TS412_3      0.414012
TR866TS220_4      0.314704
TR866TS247_5      0.409298
TR866TS295_1      0.374842
TR866TS247_3      0.428172
TR866TS081_1      0.416413
TR866TS295_4      0.364466
TR866TS412_4      0.421146
TR866TS430_5      0.426383
TR866TS294_1      0.414209
TR866TS247_2      0.427668
TR866TS265_2      0.449071
TR866TS208_1      0.413221
TR866TS017_4      0.432095
TR866TS017_2      0.421304
TR866TS324_5      0.433992
TR866TS060_3      0.380929
TR866TS250_1      0.430622
TR866TS060_4      0.367905
TR866TS118_1      0.480949
TR866TS220_1      0.41664
TR866TS060_1      0.354447
TR866TS324_4      0.433024
TR866TS081_5      0.36417
TR866TS001_3      0.412945
TR866TS330_4      0.214565
TR866TS017_1      0.412658
TR866TS011_1      0.396166
TR866TS399_2      0.130158
TR866TS474_3      0.41918
TR866TS418_3      0.383785
TR866TS265_4      0.440188
TR866TS208_4      0.415049
TR866TS162_4      0.413656
TR866TS188_1      0.423864
TR866TS418_4      0.377401
TR866TS295_2      0.379941
TR866TS001_2      0.399427
TR866TS023_3      0.445988
TR866TS204_3      0.433142
TR866TS102_5      0.409644
TR866TS418_1      0.369457
TR866TS250_5      0.434872
TR866TS450_3      0.357115
TR866TS208_5      0.413834
TR866TS396_4      0.418824
TR866TS017_5      0.43079
TR866TS474_1      0.420731
TR866TS060_2      0.353854
TR866TS208_2      0.413409
TR866TS399_1      0.128478
TR866TS430_3      0.427895
TR866TS295_3      0.356907
TR866TS011_5      0.393468
TR866TS204_5      0.415415
TR866TS118_2      0.458794
TR866TS393_1      0.429615
TR866TS265_1      0.430504
TR866TS430_4      0.425494
TR866TS073_5      0.424802
TR866TS023_1      0.448656
TR866TS474_2      0.410731
TR866TS204_2      0.436334
TR866TS102_3      0.426453
TR866TS061_1      0.395059
TR866TS399_4      0.129763
TR866TS396_3      0.416354
TR866TS396_2      0.419298
TR866TS220_3      0.297994
TR866TS060_5      0.359447
TR866TS399_3      0.129249
TR866TS220_2      0.402737
TR866TS001_5      0.433399
TR866TS073_4      0.393567
TR866TS412_2      0.41003
TR866TS324_2      0.424328
TR866TS023_5      0.447796
TR866TS257_2      0.4142
TR866TS330_3      0.323429
TR866TS081_4      0.367599
TR866TS396_5      0.405109
TR866TS450_4      0.36669
TR866TS011_4      0.402875
TR866TS265_3      0.436334
TR866TS081_2      0.429219
TR866TS011_3      0.400277
TR866TS446_1      0.441255
TR866TS023_2      0.433725
TR866TS073_3      0.404723
TR866TS001_4      0.431393
TR866TS102_2      0.417717
TR866TS412_1      0.416413
TR866TS250_2      0.432055
TR866TS118_5      0.416561
TR866TS162_2      0.419516
TR866TS001_1      0.442065
TR866TS399_5      0.127095
TR866TS102_1      0.420237
TR866TS247_1      0.409545
TR866TS081_3      0.372905
TR866TS247_4      0.420613
TR866TS220_5      0.315879
TR866TS450_5      0.357026
TR866TS162_3      0.406245
TR866TS073_2      0.414704
TR866TS418_2      0.332055
TR866TS324_3      0.431225
TR866TS017_3      0.423706
TR866TS250_4      0.436433
TR866TS265_5      0.436285
TR866TS011_2      0.413528
TR866TS250_3      0.431383
TR866TS295_5      0.359822
TR866TS324_1      0.438449
TR866TS330_5      0.25831
TR866TS279_1      0.345573
TR866TS430_1      0.429486
TR866TS412_5      0.421561
TR866TS273_1      0.419862
TR866TS257_1      0.415316
